epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,344.669,2.09832,0.37444,0.85222,1.7804,0.000235894,0.000235894,0.000235894
2,456.177,1.62072,0.51333,0.92444,1.43145,0.000458255,0.000458255,0.000458255
3,568.992,1.27536,0.58333,0.94111,1.35007,0.000664909,0.000664909,0.000664909
4,684.003,1.09146,0.59,0.95222,1.1748,0.000643314,0.000643314,0.000643314
5,795.244,0.94307,0.65,0.96222,0.98154,0.000619752,0.000619752,0.000619752
6,912.238,0.79671,0.65111,0.96444,1.0333,0.00059619,0.00059619,0.00059619
7,1026.3,0.71328,0.66444,0.96889,0.94744,0.000572628,0.000572628,0.000572628
8,1139.51,0.63139,0.67556,0.96667,1.01712,0.000549066,0.000549066,0.000549066
9,1251.8,0.59166,0.71889,0.97111,0.87174,0.000525504,0.000525504,0.000525504
10,1360.18,0.51368,0.71111,0.97222,0.85968,0.000501942,0.000501942,0.000501942
11,1477.58,0.48547,0.72778,0.97,0.8945,0.00047838,0.00047838,0.00047838
12,1591.23,0.44947,0.73,0.97667,0.90199,0.000454818,0.000454818,0.000454818
13,1703.81,0.40126,0.72667,0.97444,0.84621,0.000431256,0.000431256,0.000431256
14,1816.88,0.37533,0.74556,0.97556,1.10368,0.000407694,0.000407694,0.000407694
15,1929.15,0.37944,0.74667,0.97333,0.85512,0.000384132,0.000384132,0.000384132
16,2044.15,0.32958,0.73667,0.97556,0.92733,0.00036057,0.00036057,0.00036057
17,2161.21,0.308,0.75222,0.97111,0.85153,0.000337008,0.000337008,0.000337008
18,2269.92,0.28179,0.74556,0.97778,0.91413,0.000313446,0.000313446,0.000313446
19,2387.96,0.28309,0.74333,0.98,0.83733,0.000289884,0.000289884,0.000289884
20,2496.71,0.27641,0.74556,0.97889,0.89894,0.000266322,0.000266322,0.000266322
21,2615.48,0.24339,0.75556,0.97778,0.8667,0.00024276,0.00024276,0.00024276
22,2729,0.24376,0.74556,0.97778,0.85167,0.000219198,0.000219198,0.000219198
23,2841.41,0.24373,0.75889,0.97333,0.92562,0.000195636,0.000195636,0.000195636
24,2954.64,0.22803,0.75333,0.97556,0.93675,0.000172074,0.000172074,0.000172074
25,3065.45,0.2148,0.74778,0.97667,0.87152,0.000148512,0.000148512,0.000148512
26,3179.28,0.19785,0.74667,0.98,0.9637,0.00012495,0.00012495,0.00012495
27,3290.19,0.20819,0.74889,0.98,0.85341,0.000101388,0.000101388,0.000101388
28,3405.52,0.19099,0.74111,0.97889,0.84482,7.7826e-05,7.7826e-05,7.7826e-05
29,3520.23,0.17939,0.74889,0.98,0.97936,5.4264e-05,5.4264e-05,5.4264e-05
30,3630.89,0.17228,0.75333,0.97889,0.86562,3.0702e-05,3.0702e-05,3.0702e-05
